Pgroup,Lp,Pkod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
CHEMISTRY,1,8129,MARKER CZARNY 1 SZT,0.018716578,7,0,0,
CHEMISTRY,1,19249,MASZYNKA JEDNORAZOWA WIKINSON,0.032085561,12,0,0,
CHEMISTRY,1,1618,MASZYNKA POLSILVER,0.299465241,112,0,0,
CHEMISTRY,1,18601,MASZYNKA WILKINSON XTREME 3 BEAUTY,0.061497326,23,0,0,
CHEMISTRY,1,7622,MELT DO RUR 750 ML,0.005347594,2,0,0,
CHEMISTRY,1,15335,MISECZKI DO ZUP PLASTIK 12 SZT,0.002673797,1,0,0,
CHEMISTRY,1,9987,MLECZKO CIF DO CZYSZCZENIA 540GR,0.010695187,4,0,0,
CHEMISTRY,1,6409,MOLA PAPIER BIALY 8,0.040106952,15,0,0,
CHEMISTRY,1,10513,MOLA POAPIER ZAPACH 8 MAGNOLIA,0.013368984,5,0,0,
CHEMISTRY,1,10491,MYDLO ARKO 90 G RUMIANEK,0.016042781,6,0,0,
CHEMISTRY,1,15999,MYDLO ARKO EXTRA 90 G,0.06684492,25,0,0,
CHEMISTRY,1,5922,MYDLO ARKO KREMEM ZIELONE 90 GR,0.024064171,9,0,0,
CHEMISTRY,1,2419,MYDLO BAMBINO 90 G,0.056149733,21,0,0,
CHEMISTRY,1,8033,MYDLO DAVE 100G,0.002673797,1,0,0,
CHEMISTRY,1,4089,MYDLO DOVE 100G CREAM BAR,0.034759358,13,0,0,
CHEMISTRY,1,3843,MYDLO DOVE 100G EXFOLIATING,0.00802139,3,0,0,
CHEMISTRY,1,10222,MYDLO DOVE KOSTKA 100G BUTTER,0.00802139,3,0,0,
CHEMISTRY,1,4090,MYDLO DOVE OIL 100G,0.005347594,2,0,0,
CHEMISTRY,1,5721,MYDLO LUKSJA 90 G GLICERIN,0.018716578,7,0,0,
CHEMISTRY,1,4064,MYDLO LUKSJA 90 G LINEN,0.085561497,32,0,0,
CHEMISTRY,1,3802,MYDLO LUKSJS 90 G FRESH,0.010695187,4,0,0,
CHEMISTRY,1,18265,MYDLO PALMOLIVE 100 G,0.016042781,6,0,0,
CHEMISTRY,1,9469,MYDLO SAFINA 90 G OLIWKA,0.016042781,6,0,0,
CHEMISTRY,1,9956,MYDLO SAFINA JASMIN 90GR,0.016042781,6,0,0,
