Lp,PKod,Pavarage_stock,Pgroup,Pname,Psale,Rotation_in_days,Rotation_in_times,_id,p_sale_in_time
1,18630,0,MILK,COCA COLA 1.5 L,0,NaN,NaN,61ee03758281e78e240fcdf5,0
1,16527,0,MILK,DODONI EXTRA 2 L GAZ LIMON,0,NaN,NaN,61ee03758281e78e240fcdfe,0
1,2874,0,MILK,DR WITT 1 L JAB?KO,0,NaN,NaN,61ee03758281e78e240fce03,0
1,3382,0,MILK,DR WITT 1 L POMARANCZ,0,NaN,NaN,61ee03758281e78e240fce04,0
1,7136,0,MILK,DZIEN I  NOC SOK POMARANCZ 1 L,0,NaN,NaN,61ee03758281e78e240fce07,0
1,4185,0,MILK,DZIEN I NOC SOK CZ.PORZECZKA 0.2 L,0,NaN,NaN,61ee03758281e78e240fce12,0
1,1814,0,MILK,GRAPPA COLA GAZ 1.5 L,0,NaN,NaN,61ee03758281e78e240fce28,0
1,15981,0,MILK,KUBUS WATER 1.5 CYTR.,0,NaN,NaN,61ee03758281e78e240fce48,0
1,3170,0,MILK,MIESO W MARYBACIE KG,0,NaN,NaN,61ee03758281e78e240fce58,0
1,16754,0,MILK,MLEKO W PROSZKU 500 G,0,NaN,NaN,61ee03758281e78e240fce59,0
1,12387,0,MILK,NAP BINGO 3 L COLA,0,NaN,NaN,61ee03758281e78e240fce6e,0
1,15871,0,MILK,NAP BINGO 3 L GAZ LINONKE,0,NaN,NaN,61ee03758281e78e240fce6f,0
1,4541,0,MILK,NAP CAPRIO 2 L N/G POMARANCZ,0,NaN,NaN,61ee03758281e78e240fce7c,0
1,6945,0,MILK,NAP COCA COLA 1 L Z LIME,0,NaN,NaN,61ee03758281e78e240fce80,0
1,7790,0,MILK,NAP COCA COLA 1.5 LIME,0,NaN,NaN,61ee03758281e78e240fce82,0
1,3131,0,MILK,NAP COCA COLA LIGHT 1L,0,NaN,NaN,61ee03758281e78e240fce85,0
1,16277,0,MILK,NAP DODONI LIM.0.5,0,NaN,NaN,61ee03758281e78e240fceb5,0
1,15760,0,MILK,NAP EDO JABLKO 315 ML,0,NaN,NaN,61ee03758281e78e240fcebc,0
1,5692,0,MILK,NAP ENERGETYCZ.ALBANSKI RAJ 0.25 L,0,NaN,NaN,61ee03758281e78e240fcec2,0
1,13213,0,MILK,NAP FRUTEK WODA 0.5 BRZOSKW,0,NaN,NaN,61ee03758281e78e240fcede,0
1,5092,0,MILK,NAP HELLENA ORANZADA PUSZKA 250 ML,0,NaN,NaN,61ee03758281e78e240fcef0,0
1,16519,0,MILK,NAP HOOP COLA WISNIA 2 L,0,NaN,NaN,61ee03758281e78e240fcefc,0
1,12229,0,MILK,NAP HORTEX 1 L JAB+MIETA,0,NaN,NaN,61ee03758281e78e240fcf05,0
1,7309,0,MILK,NAP HORTEX LEON 0.5 L GRUSZKA,0,NaN,NaN,61ee03758281e78e240fcf1d,0
1,5604,0,MILK,NAP HORTEX WODA 0.5 L CYTR,0,NaN,NaN,61ee03758281e78e240fcf22,0
1,4786,0,MILK,NAP KROPLA N/G 1.5 JAB?KO,0,NaN,NaN,61ee03758281e78e240fcf34,0
1,6630,5,MILK,NAP GARDEN POMARANCZOWY.2L,1,1870,0.2,61ee03758281e78e240fcd93,0.002673797
1,5282,66,MILK,WODA KROPLA BESKIDU 1.5L N/GAZ,90,274.2666667,1.363636364,61ee03758281e78e240fcda2,0.240641711
1,7982,1,MILK,NAP TYMBARK 0.4 L LEMONIADA MANGO,11,34,11,61ee03758281e78e240fcdcd,0.029411765
1,7999,1,MILK,NAP TYMBARK 0.3 L VITAMIN,23,16.26086957,23,61ee03758281e78e240fcde1,0.061497326
1,18722,2,MILK,JOGURT GRECKI 150 G JAGODA,51,14.66666667,25.5,61ee03758281e78e240fcde4,0.136363636
1,9681,0,MILK,BOMB BARON 217 G,0,NaN,NaN,61ee03758281e78e240fcdee,0
1,6697,0,MILK,COSTA POM/MAND 2 L,0,NaN,NaN,61ee03758281e78e240fcdfa,0
1,5385,0,MILK,DZIEN I NOC  JAB+WISNIA 0.2,0,NaN,NaN,61ee03758281e78e240fce08,0
1,2658,0,MILK,FIL 2L GAZ ORANZADA CZER,0,NaN,NaN,61ee03758281e78e240fce1b,0
1,1256,0,MILK,FIL NAP GAZ LIMONKA 2 L,0,NaN,NaN,61ee03758281e78e240fce1c,0
1,1817,0,MILK,GRAPPE  GAZ 1.5 L PINK GREJFRUT,0,NaN,NaN,61ee03758281e78e240fce2c,0
1,18724,0,MILK,JOGOBELA DO PICIA 250 G,0,NaN,NaN,61ee03758281e78e240fce35,0
1,18819,0,MILK,"KUBUS PLAT ,LMONIADA",0,NaN,NaN,61ee03758281e78e240fce43,0
1,2786,0,MILK,NAP 7 UP 1L,0,NaN,NaN,61ee03758281e78e240fce5d,0
1,7359,0,MILK,NAP ALOE 0.5 L MANGO,0,NaN,NaN,61ee03758281e78e240fce5e,0
1,18367,0,MILK,NAP ANGRY 0.25  ML N/GAZ,0,NaN,NaN,61ee03758281e78e240fce62,0
1,18763,0,MILK,NAP AQA  1.5 L GAZ RABAR+HIBISKUS,0,NaN,NaN,61ee03758281e78e240fce66,0
1,5257,0,MILK,NAP BOMBEL BINGO CYTR.1.5 L GAZ,0,NaN,NaN,61ee03758281e78e240fce73,0
1,4282,0,MILK,NAP CAPRIO 2 L N/G PET JAB?KO,0,NaN,NaN,61ee03758281e78e240fce7a,0
1,7252,0,MILK,NAP COCA COLA ZERO 0.33 ML PUSZKA,0,NaN,NaN,61ee03758281e78e240fce86,0
1,7420,0,MILK,NAP CYMES FUKS 2L N/G POMARANCZ,0,NaN,NaN,61ee03758281e78e240fce95,0
1,16686,0,MILK,NAP DODONI 0.2L,0,NaN,NaN,61ee03758281e78e240fce9f,0
1,15768,0,MILK,NAP EDO 0.315 ML WINOGR,0,NaN,NaN,61ee03758281e78e240fceba,0
1,2146,0,MILK,NAP ENERGETYK 1 L PITBULL,0,NaN,NaN,61ee03758281e78e240fcec9,0
1,93,0,MILK,NAP FIL 2 L GAZ COLA,0,NaN,NaN,61ee03758281e78e240fced3,0
1,13210,0,MILK,NAP FRUTEK WODA 0.5 L TRUS,0,NaN,NaN,61ee03758281e78e240fcee0,0
1,15119,0,MILK,NAP HORTEX FRESZ 1 L WIN+JAB+LIMON,0,NaN,NaN,61ee03758281e78e240fcf17,0
1,7307,0,MILK,NAP HORTEX LEON 0.5 L TRUSK,0,NaN,NaN,61ee03758281e78e240fcf1e,0
1,8204,0,MILK,WODA USTRONIANKA 0.7 L Z POTAS SPORT,3,0,,61ee03758281e78e240fcd73,0.00802139
1,10353,0,MILK,WODA ZYWIEC 0.5 L GREEN TEA,6,0,,61ee03758281e78e240fcd75,0.016042781
1,3181,0,MILK,WODA ZYWIEC 1.5 L N/G CYTRYNA,138,0,,61ee03758281e78e240fcd79,0.368983957
1,15239,2,MILK,WODA DOLINA BARYCZY N/G 0.5,10,74.8,5,61ee03758281e78e240fcdbd,0.026737968
1,9119,1,MILK,WODA MUSZYNA 0.5 L GAZ,11,34,11,61ee03758281e78e240fcdd4,0.029411765
1,3519,0,MILK,BOMBEL ICE TEA CYTRYNA 1.5 LN/G,0,NaN,NaN,61ee03758281e78e240fcdef,0
1,4942,0,MILK,DR WIT 1 L MAR+BRZOS+B?ONNIK,0,NaN,NaN,61ee03758281e78e240fce01,0
1,3380,0,MILK,DR WITT 1 L POMARANCZ+MARCHEW,0,NaN,NaN,61ee03758281e78e240fce05,0
1,2875,0,MILK,DR WITT CZARNA PORZECZKA,0,NaN,NaN,61ee03758281e78e240fce06,0
1,4183,0,MILK,DZIEN I NOC SOK BAN+MAR+POM 1L,0,NaN,NaN,61ee03758281e78e240fce10,0
1,4184,0,MILK,DZIEN I NOC SOK POMID 0.2,0,NaN,NaN,61ee03758281e78e240fce16,0
1,16306,0,MILK,FORTUNA SOK JAB?KOWY 1 L B/CU,0,NaN,NaN,61ee03758281e78e240fce1e,0
1,18830,0,MILK,JOGURT NAT.190 G TOLA,0,NaN,NaN,61ee03758281e78e240fce36,0
1,5356,0,MILK,LIPTON 0.5 L GREEN,0,NaN,NaN,61ee03758281e78e240fce52,0
1,18202,0,MILK,NAP BAHAMA 1L POMIDOROWY,0,NaN,NaN,61ee03758281e78e240fce6b,0
1,5256,0,MILK,NAP BOMBEL BINGO COCOLA GAZ 1.5 L,0,NaN,NaN,61ee03758281e78e240fce72,0
1,3347,0,MILK,NAP BURN 0.25 BLU,0,NaN,NaN,61ee03758281e78e240fce75,0
1,2392,0,MILK,NAP CLIC 369 ML ZIELONY,0,NaN,NaN,61ee03758281e78e240fce7e,0
1,17683,0,MILK,NAP DODONI 1.75 L N/G POMAR.,0,NaN,NaN,61ee03758281e78e240fcea8,0
1,15459,0,MILK,NAP DR WITT POMAR 0.3 L,0,NaN,NaN,61ee03758281e78e240fceb9,0
1,5277,0,MILK,NAP ENERG.ALBANSKI RAJ 0.25 ML,0,NaN,NaN,61ee03758281e78e240fcebe,0
1,13211,0,MILK,NAP FRUTEK WODA 0.5 L MALIN,0,NaN,NaN,61ee03758281e78e240fcedf,0
1,18167,0,MILK,NAP HOOP COLA PUSZKA 250 ML,0,NaN,NaN,61ee03758281e78e240fcefb,0
1,90,0,MILK,NAP HORTEX 1 L SLON.POMARANCZ1L,0,NaN,NaN,61ee03758281e78e240fcf0c,0
1,505,0,MILK,NAP HORTEX 1L GREJPFRUT RUBUNOWY,0,NaN,NaN,61ee03758281e78e240fcf11,0
1,17077,0,MILK,NAP HORTEX 1L JABLKO/GRUSZKA,0,NaN,NaN,61ee03758281e78e240fcf12,0
1,7994,0,MILK,NAP HORTEX LEON 0.3 L BRZOSK,0,NaN,NaN,61ee03758281e78e240fcf1c,0
1,2013,0,MILK,NAP JUPIK TRUSKAWKA 0.33 ML,0,NaN,NaN,61ee03758281e78e240fcf31,0
1,18338,0,MILK,NAP MIRINDA 1.5 L,0,NaN,NaN,61ee03758281e78e240fcf3b,0
1,1575,0,MILK,NAP MIX 2 L GAZ POMARAN.,0,NaN,NaN,61ee03758281e78e240fcf3e,0
1,18844,0,MILK,WODA NESTI 0.33 N/G,30,0,,61ee03758281e78e240fcd63,0.080213904
1,9827,0,MILK,WODA NESTTLE 1.5 L GAZ,20,0,,61ee03758281e78e240fcd65,0.053475936
1,8197,0,MILK,WODA USTRONIANKA 0.7 L Z MAGNEZEM SPORT,5,0,,61ee03758281e78e240fcd72,0.013368984
1,9826,0,MILK,WODA NESTTLE 1.5 N/G,7,0,,61ee03758281e78e240fcd66,0.018716578
1,2398,0,MILK,ZBYSZKO 3 WITAMINKI GAZ 1.5 L,41,0,,61ee03758281e78e240fcd89,0.109625668
1,9884,0,MILK,ZBYSZKO LEMONIADA 1.25 L POM+CYTR,6,0,,61ee03758281e78e240fcd8c,0.016042781
1,9838,7,MILK,PRYMAT SOS SALATKOWY CZOSNKOWY,23,113.826087,3.285714286,61ee03758281e78e240fcdb4,0.061497326
1,9217,10,MILK,LAURKA,40,93.5,4,61ee03758281e78e240fcdb5,0.106951872
1,2203,5,MILK,NAP OSHEE 0.75  BLU,25,74.8,5,61ee03758281e78e240fcdbc,0.06684492
1,9157,4,MILK,SMAKOTEK  MA+JA+BRZ 0.33ML,26,57.53846154,6.5,61ee03758281e78e240fcdbe,0.069518717
1,9842,1,MILK,NAP VERONI 400 ML ENERGI GUARANA,8,46.75,8,61ee03758281e78e240fcdc2,0.021390374
1,3115,2,MILK,KUBUS GO 0.3 ML JAB?KO 100%,22,34,11,61ee03758281e78e240fcdc6,0.058823529
1,8894,1,MILK,KUBUS PLAY 0.5 L JAB+MAL+LICZI,11,34,11,61ee03758281e78e240fcdc7,0.029411765
1,2098,0,MILK,BACIUS 0.5 L N/G JAB?KO,0,NaN,NaN,61ee03758281e78e240fcdea,0
1,6863,6,MILK,COSTA CZERWONE POMARANCZE 2L,0,NaN,NaN,61ee03758281e78e240fcdf7,0
1,16528,0,MILK,DODONI EXTRA 2 L GAZ COLA,0,NaN,NaN,61ee03758281e78e240fcdfd,0
1,16526,0,MILK,DODONI EXTRA 2 L GAZ OR.BIALA,0,NaN,NaN,61ee03758281e78e240fcdff,0
1,17912,0,MILK,KUBUS 0.5 WODA CITRUS,0,NaN,NaN,61ee03758281e78e240fce3c,0
1,5569,0,MILK,KUNUS WATER V0.5 L BRZOSKWINIA,0,NaN,NaN,61ee03758281e78e240fce4e,0
1,18366,0,MILK,NAP ANGRY 0.25 ML N/GAZ,0,NaN,NaN,61ee03758281e78e240fce63,0
1,6592,0,MILK,NAP BURN BLU 0.5 L,0,NaN,NaN,61ee03758281e78e240fce76,0
1,18146,9,MILK,NAP COCA COLA 1.5 L,0,NaN,NaN,61ee03758281e78e240fce81,0
1,18344,0,MILK,NAP COCOLA 0.5 L,0,NaN,NaN,61ee03758281e78e240fce88,0
1,16416,0,MILK,NAP DOBROVIT ACTIV 0.5,0,NaN,NaN,61ee03758281e78e240fce99,0
1,18799,0,MILK,NAP FANTA 1 L TRUSKAWKA,0,NaN,NaN,61ee03758281e78e240fced0,0
1,9905,0,MILK,NAP GRAPCIO 0.45 POMAR,0,NaN,NaN,61ee03758281e78e240fcee8,0
1,5402,0,MILK,NAP HELLENA 0.275 SZK?O,0,NaN,NaN,61ee03758281e78e240fceeb,0
1,15785,0,MILK,NAP HOOP COLA 1 L LIGHT,0,NaN,NaN,61ee03758281e78e240fcef6,0
1,5041,0,MILK,NAP HOOP COLA 1 L Z CYRT,0,NaN,NaN,61ee03758281e78e240fcef7,0
1,2936,0,MILK,NAP HOOP COLA 2L CYTRYNOWA GAZ,0,NaN,NaN,61ee03758281e78e240fcefa,0
1,7310,0,MILK,NAP HORTEX 0.5 L EGZOTYK,0,NaN,NaN,61ee03758281e78e240fcf02,0
1,15857,0,MILK,NAP HORTEX 1 L TRUS-MIETA,0,NaN,NaN,61ee03758281e78e240fcf0d,0
1,4780,0,MILK,NAP HORTEX LEON MAR/JAB/BRZOS 0.33L,0,NaN,NaN,61ee03758281e78e240fcf20,0
1,685,0,MILK,NAP IZOTONICZNY 700 ML 4MOVE,0,NaN,NaN,61ee03758281e78e240fcf29,0
1,3219,0,MILK,NAP JUPIK AQA CYTRYNA 0.5 N/G,0,NaN,NaN,61ee03758281e78e240fcf2c,0
1,1568,0,MILK,NAP MIX  2 L GAZ COLA,0,NaN,NaN,61ee03758281e78e240fcf3c,0
1,5778,0,MILK,NAP MR MAX 2 L GAZ POMAERANCZ,0,NaN,NaN,61ee03758281e78e240fcf40,0
1,6555,0,MILK,NAP MUSUJACY 0.75 L,0,NaN,NaN,61ee03758281e78e240fcf47,0
