id,id_Date,Date,PKod,Pgroup,Pname,Pquantity,pce_zn,pwa_zn,pce_sn,pwa_sn,pce_sb,pwa_sb,pudzsb,pmarza,pmarzajedn,pkwmarza,pudzmarza,id
27,7,01/01/2018,4581,SPICES,APPETITA PRZYPRAWA DO GULASZU 20 G,1,0.97,0.97,1.34,1.34,1.45,1.45,0,27.61,0.37,0.37,0,
28,7,01/01/2018,10232,CHEMISTRY,ARIEL KAPSU?KI DO BIA?EGO 32SZT,2,0.78,1.56,1.37,2.74,1.69,3.38,0,43.07,0.59,1.18,0.01,
29,7,01/01/2018,9274,TABLETS,ASPIRYN ULTRA 2 SZT,4,1.83,7.32,2.68,10.72,2.89,11.56,0.01,31.72,0.85,3.4,0.04,
30,7,01/01/2018,14220,BREAD,B BABKA DUZA JOGURTOWA/POLEWA,1,7.31,7.31,8.81,8.81,9.51,9.51,0.01,17.03,1.5,1.5,0.02,
31,7,01/01/2018,7762,BREAD,B CIASTKA FRANCUSKIE/ROZNE LUZ,2.38,13.69,32.51,18.01,42.77,19.46,46.21,0.05,23.99,4.32,10.26,0.11,
32,7,01/01/2018,14208,BREAD,B ROGAL MLECZNY 0_1KG,34,0.99,33.66,1.25,42.5,1.35,45.9,0.05,20.8,0.26,8.84,0.09,
33,7,01/01/2018,13413,BREAD,B ROGALE/GNIAZDO SMIET/EKLER/OMLET,160,1.64,262,1.82,291.04,1.96,313.92,0.35,9.98,0.18,29.04,0.3,
34,7,01/01/2018,7926,BREAD,B SERNIK/PIANKI/ROGALE Z MAKIEM,1.15,22.56,25.9,29.43,33.79,31.78,36.48,0.04,23.35,6.87,7.89,0.08,
35,7,01/01/2018,2911,DAIRY_CHESSE,BAKOMA 7 ZBOZ SLIWKA 150GR,6,1.39,8.34,1.73,10.35,1.86,11.16,0.01,19.42,0.34,2.01,0.02,
36,7,01/01/2018,12547,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI TRUSKAW/,3,1.57,4.71,2.18,6.54,2.29,6.87,0.01,27.98,0.61,1.83,0.02,
37,7,01/01/2018,12548,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI WANIL/,3,1.57,4.71,2.18,6.54,2.29,6.87,0.01,27.98,0.61,1.83,0.02,
